Id,SalePrice_pred
1461,122112.31
1462,146520.94
1463,169422.06
1464,185347.67
1465,199730.83
1466,168750.16
1467,174796.8
1468,156098.95
1469,214804.74
1470,111135.47
1471,177574.17
1472,105331.57
1473,92769.08
1474,142766.75
1475,112710.55
1476,357447.92
1477,247236.45
1478,324722.73
1479,313648.57
1480,447706.1
1481,306370.5
1482,224223.06
1483,171735.37
1484,169268.1
1485,204128.66
1486,197462.83
1487,315086.87
1488,231775.71
1489,189028.85
1490,245750.71
1491,197784.74
1492,97894.89
1493,212371.52
1494,291195.46
1495,277883.55
1496,233135.59
1497,171131.86
1498,158417.3
1499,165608.24
1500,153590.43
1501,191576.32
1502,149201.26
1503,278645.99
1504,243263.93
1505,221981.08
1506,189489.04
1507,247276.97
1508,185778.67
1509,160618.52
1510,138425.64
1511,140002.12
1512,176377.64
1513,164815.86
1514,136437.29
1515,194674.87
1516,163289.87
1517,167223.69
1518,130387.59
1519,209605.78
1520,117787.01
1521,117866.83
1522,192382.66
1523,95899.65
1524,124105.4
1525,111462.31
1526,90490.46
1527,93613.81
1528,144525.88
1529,146442.26
1530,217776.55
1531,135088.89
1532,104175.18
1533,143384.38
1534,124911.37
1535,155497.48
1536,101434.83
1537,36720.77
1538,162002.98
1539,209377.71
1540,124726.34
1541,134383.49
1542,144764.71
1543,183877.85
1544,101596.45
1545,131939.54
1546,137719.41
1547,144390.93
1548,152211.13
1549,126294.98
1550,134685.89
1551,118313.94
1552,150240.56
1553,152565.29
1554,117888.88
1555,160177.9
1556,88785.89
1557,79579.31
1558,92499.95
1559,87218.97
1560,141923.93
1561,116306.28
1562,125105.75
1563,125873.68
1564,144876.21
1565,147708.23
1566,251071.97
1567,78808.45
1568,219380.93
1569,107498.51
1570,149365.51
1571,100036.49
1572,141944.7
1573,248542.03
1574,125669.32
1575,242646.85
1576,230350.86
1577,189071.0
1578,140004.55
1579,128173.76
1580,192520.08
1581,163993.1
1582,133077.89
1583,264836.06
1584,222622.36
1585,149398.08
1586,48060.25
1587,110610.63
1588,165516.94
1589,108445.13
1590,131563.12
1591,82370.17
1592,123702.69
1593,138884.27
1594,140551.12
1595,115212.58
1596,222639.64
1597,202770.38
1598,221385.51
1599,207797.58
1600,184983.4
1601,50390.59
1602,128427.28
1603,86995.04
1604,288397.75
1605,240820.93
1606,150507.46
1607,166566.33
1608,212661.06
1609,184864.51
1610,146822.77
1611,136646.12
1612,187306.19
1613,160465.47
1614,155594.49
1615,92322.58
1616,61065.91
1617,82996.44
1618,118893.13
1619,153588.03
1620,171772.47
1621,129186.98
1622,140831.06
1623,255207.6
1624,209929.44
1625,113615.61
1626,164236.39
1627,179010.89
1628,285104.28
1629,182332.3
1630,322432.27
1631,220932.91
1632,234201.04
1633,194635.27
1634,188078.95
1635,176525.48
1636,144498.64
1637,193346.48
1638,197829.64
1639,181807.47
1640,247818.1
1641,176430.63
1642,256336.9
1643,219618.24
1644,236277.19
1645,211122.99
1646,154964.1
1647,159088.65
1648,127302.22
1649,130753.77
1650,116177.26
1651,121215.36
1652,108053.75
1653,108197.42
1654,143973.33
1655,130756.24
1656,132926.39
1657,141521.68
1658,141566.35
1659,120216.44
1660,136285.66
1661,410306.66
1662,378306.13
1663,370978.46
1664,453261.13
1665,331302.63
1666,322569.2
1667,356701.62
1668,352588.2
1669,320781.89
1670,352180.57
1671,254448.41
1672,383748.09
1673,286488.83
1674,249124.54
1675,202096.41
1676,207380.47
1677,217186.01
1678,441348.4
1679,370666.19
1680,328389.37
1681,286223.14
1682,322454.67
1683,196399.95
1684,181856.34
1685,176860.66
1686,172764.33
1687,187418.67
1688,187624.89
1689,198877.27
1690,199909.12
1691,191101.58
1692,269680.57
1693,194883.87
1694,179654.25
1695,176621.96
1696,253762.57
1697,181963.73
1698,330061.75
1699,302481.98
1700,266909.91
1701,285257.24
1702,242020.65
1703,233788.71
1704,260906.46
1705,260714.55
1706,399562.12
1707,221763.49
1708,200017.66
1709,248301.2
1710,226695.81
1711,274172.32
1712,240426.86
1713,264932.94
1714,223462.52
1715,210329.53
1716,182215.95
1717,189888.37
1718,134890.17
1719,229809.67
1720,230602.33
1721,177379.73
1722,126760.63
1723,161475.34
1724,202766.82
1725,231911.03
1726,195721.28
1727,141974.23
1728,189419.92
1729,156577.97
1730,176870.96
1731,118880.92
1732,136586.1
1733,112837.79
1734,115219.3
1735,139897.77
1736,100065.86
1737,287577.22
1738,257302.35
1739,266556.12
1740,198487.36
1741,185407.08
1742,173292.13
1743,174597.43
1744,326047.55
1745,232823.36
1746,235546.12
1747,224736.56
1748,231788.98
1749,140305.01
1750,139122.3
1751,249232.44
1752,107417.18
1753,149228.92
1754,199014.03
1755,151088.05
1756,127287.14
1757,115040.9
1758,142160.45
1759,160762.52
1760,156982.1
1761,147183.22
1762,185759.72
1763,188428.88
1764,119229.71
1765,182960.23
1766,181213.32
1767,215680.61
1768,141286.69
1769,164451.77
1770,153653.21
1771,120791.36
1772,130365.32
1773,117803.82
1774,152847.89
1775,135806.04
1776,139227.02
1777,109796.94
1778,145483.62
1779,117053.33
1780,184624.61
1781,126354.23
1782,69908.96
1783,129151.76
1784,92884.19
1785,136933.96
1786,141294.3
1787,165362.78
1788,40632.71
1789,100515.32
1790,48278.46
1791,217871.22
1792,164870.58
1793,128883.32
1794,170895.0
1795,127570.95
1796,143033.45
1797,135872.53
1798,123895.68
1799,103223.27
1800,135110.49
1801,114102.47
1802,140500.44
1803,157658.9
1804,125553.51
1805,137631.06
1806,133187.51
1807,171777.7
1808,122294.42
1809,117845.67
1810,146892.17
1811,86188.23
1812,102488.75
1813,122921.36
1814,89153.44
1815,38379.71
1816,94815.07
1817,107399.63
1818,173644.45
1819,132200.48
1820,43245.85
1821,118649.34
1822,148082.49
1823,32551.59
1824,148171.62
1825,149817.39
1826,98145.28
1827,104083.17
1828,136067.89
1829,150699.76
1830,146587.68
1831,153554.23
1832,83168.03
1833,149858.29
1834,114211.61
1835,100844.27
1836,128403.61
1837,71143.71
1838,110257.11
1839,103582.91
1840,150024.08
1841,143682.27
1842,81196.67
1843,122553.85
1844,138319.55
1845,153031.72
1846,144222.83
1847,173537.81
1848,28053.29
1849,123489.55
1850,118044.98
1851,145549.03
1852,130248.2
1853,122329.1
1854,177651.17
1855,149033.23
1856,229653.72
1857,135592.84
1858,162254.6
1859,121836.98
1860,153961.51
1861,120710.08
1862,307156.88
1863,305466.98
1864,305482.95
1865,360292.83
1866,351822.38
1867,221618.61
1868,286149.87
1869,211286.88
1870,222021.84
1871,277098.0
1872,174988.06
1873,230221.45
1874,150106.81
1875,200991.39
1876,194119.13
1877,199999.42
1878,212447.04
1879,120530.43
1880,127175.48
1881,233153.37
1882,241025.43
1883,185530.65
1884,203305.22
1885,248610.08
1886,286966.71
1887,216049.18
1888,251658.75
1889,167719.57
1890,114814.44
1891,143197.33
1892,81504.1
1893,125289.13
1894,109932.1
1895,135807.52
1896,122511.16
1897,95650.72
1898,113832.26
1899,158965.78
1900,159566.5
1901,175924.05
1902,164083.27
1903,244975.74
1904,171609.18
1905,192129.9
1906,153296.21
1907,207784.43
1908,118164.56
1909,148878.63
1910,127032.36
1911,228730.85
1912,301582.81
1913,156834.63
1914,67489.95
1915,322610.66
1916,42199.42
1917,240608.58
1918,135501.38
1919,165630.12
1920,162552.33
1921,372002.44
1922,340265.98
1923,220383.29
1924,215485.07
1925,212400.88
1926,372248.64
1927,127765.31
1928,149442.24
1929,106543.23
1930,129567.02
1931,130953.94
1932,133720.05
1933,192285.33
1934,173169.66
1935,164866.17
1936,201568.47
1937,175535.17
1938,175252.26
1939,255827.0
1940,198800.33
1941,164634.24
1942,179065.97
1943,231646.3
1944,366389.29
1945,377027.76
1946,138327.22
1947,329010.25
1948,157861.14
1949,245466.48
1950,195878.51
1951,234278.92
1952,196408.16
1953,165359.37
1954,188710.17
1955,131745.37
1956,270054.04
1957,151610.28
1958,277769.72
1959,151365.23
1960,101578.84
1961,121103.16
1962,92874.3
1963,112583.5
1964,102773.44
1965,134053.19
1966,141012.66
1967,297915.14
1968,389854.57
1969,386222.85
1970,392032.29
1971,451865.5
1972,363455.94
1973,297789.37
1974,342475.88
1975,456093.57
1976,276581.63
1977,361490.36
1978,342863.43
1979,315213.07
1980,206869.48
1981,342175.06
1982,214877.18
1983,209053.33
1984,189706.87
1985,233404.35
1986,206633.36
1987,205643.33
1988,173841.5
1989,196701.23
1990,212301.44
1991,228187.47
1992,230668.02
1993,171903.44
1994,241990.87
1995,181237.93
1996,288438.43
1997,327712.63
1998,298754.67
1999,303500.58
2000,314087.34
2001,277334.69
2002,252324.1
2003,237693.89
2004,275527.6
2005,241132.55
2006,224587.76
2007,241004.76
2008,221594.11
2009,211075.96
2010,198914.32
2011,152998.24
2012,178702.7
2013,176133.55
2014,180675.72
2015,197934.72
2016,196963.89
2017,198910.49
2018,120781.73
2019,138901.02
2020,86122.89
2021,93755.93
2022,180595.08
2023,142534.06
2024,299178.94
2025,355957.36
2026,179378.44
2027,156159.52
2028,157737.92
2029,165305.83
2030,256063.33
2031,247294.6
2032,269537.63
2033,250506.3
2034,183994.65
2035,222720.23
2036,203000.64
2037,204101.23
2038,322981.62
2039,227682.13
2040,321238.33
2041,288202.79
2042,205372.95
2043,171763.26
2044,186847.3
2045,188503.92
2046,145779.49
2047,139078.47
2048,142712.36
2049,137445.98
2050,171774.99
2051,114115.93
2052,126175.94
2053,147533.64
2054,75392.48
2055,154488.3
2056,155387.51
2057,105672.34
2058,210518.0
2059,128581.41
2060,176050.04
2061,181638.68
2062,120478.52
2063,117524.94
2064,123210.3
2065,118189.52
2066,164567.29
2067,122831.5
2068,146033.64
2069,84561.67
2070,104928.55
2071,86265.81
2072,133274.61
2073,124496.14
2074,158199.63
2075,166172.12
2076,120847.88
2077,152053.47
2078,120459.69
2079,142222.93
2080,117595.54
2081,120374.04
2082,137853.9
2083,155635.79
2084,98642.03
2085,114367.1
2086,146828.28
2087,127182.04
2088,92458.26
2089,73243.02
2090,130303.66
2091,83474.01
2092,132990.76
2093,165933.31
2094,106063.01
2095,130004.26
2096,84575.8
2097,89950.36
2098,148156.49
2099,36147.74
2100,58220.76
2101,105775.37
2102,149461.13
2103,90355.72
2104,147805.08
2105,131934.86
2106,24472.83
2107,206827.52
2108,124573.64
2109,102582.36
2110,122012.89
2111,156669.04
2112,142401.89
2113,127941.76
2114,119126.63
2115,169284.38
2116,120682.21
2117,155412.46
2118,139916.54
2119,107528.9
2120,127691.89
2121,95913.59
2122,115505.04
2123,95500.3
2124,184106.33
2125,134661.22
2126,151179.54
2127,162348.15
2128,147091.31
2129,105408.17
2130,137391.98
2131,136738.64
2132,110044.25
2133,129251.25
2134,114493.93
2135,107501.97
2136,42674.05
2137,118312.09
2138,131454.34
2139,146999.24
2140,137362.98
2141,163927.36
2142,130809.71
2143,137330.27
2144,103735.89
2145,150553.68
2146,202363.23
2147,127491.8
2148,147246.85
2149,146298.8
2150,234457.04
2151,131825.57
2152,169749.63
2153,192626.98
2154,96733.47
2155,143120.21
2156,259882.35
2157,222192.0
2158,239837.02
2159,230099.8
2160,182556.56
2161,231636.28
2162,354147.52
2163,347418.31
2164,245179.1
2165,198347.45
2166,160020.62
2167,220461.75
2168,189953.49
2169,197362.15
2170,211634.06
2171,159222.49
2172,134592.82
2173,178300.23
2174,218300.04
2175,256097.38
2176,295680.69
2177,232285.85
2178,213830.05
2179,148323.66
2180,232602.5
2181,201294.29
2182,221052.16
2183,199972.85
2184,125295.31
2185,130741.27
2186,131885.46
2187,151723.81
2188,158095.39
2189,314049.75
2190,75862.02
2191,68714.06
2192,60875.17
2193,114485.82
2194,85961.26
2195,80680.99
2196,110748.89
2197,105866.03
2198,163105.93
2199,192799.48
2200,153080.62
2201,147057.04
2202,202159.82
2203,144318.23
2204,170566.66
2205,128003.46
2206,154263.06
2207,217427.86
2208,249735.18
2209,215802.55
2210,128348.74
2211,129005.89
2212,119470.06
2213,96998.04
2214,161943.91
2215,101139.19
2216,152346.65
2217,49617.48
2218,90602.62
2219,78626.56
2220,54863.39
2221,323408.02
2222,298560.52
2223,285212.45
2224,215541.21
2225,133995.38
2226,175115.54
2227,202855.28
2228,288656.56
2229,243589.59
2230,155688.98
2231,209278.38
2232,176476.49
2233,179337.54
2234,252444.12
2235,235507.14
2236,247038.46
2237,297915.54
2238,219840.56
2239,117352.73
2240,168893.56
2241,131554.57
2242,127347.44
2243,126010.45
2244,114626.03
2245,132606.15
2246,135864.33
2247,126861.25
2248,129928.39
2249,120365.21
2250,126734.88
2251,109884.9
2252,176994.38
2253,164632.97
2254,179897.81
2255,187902.93
2256,178584.31
2257,206969.16
2258,151916.99
2259,169508.53
2260,164872.53
2261,228194.36
2262,238223.92
2263,359434.14
2264,405737.93
2265,168463.66
2266,309541.05
2267,363622.02
2268,414250.02
2269,159927.98
2270,193176.75
2271,203078.58
2272,201512.53
2273,154772.49
2274,181488.47
2275,151381.37
2276,191254.24
2277,184798.9
